State,Raised,Religion
Fiji,289923,Methodist
Fiji,52520,Muslim
Fiji,32308,Seventh Day Adventis
Fiji,2577,Sikh
Fiji,86781,Other Christians
Fiji,2172,Other Religions
Fiji,7073,No Religion
Finland,5375276,Total
Finland,3648,Adventist
Finland,568,Baha'i
Finland,2356,Baptist
Finland,10640,Catholic
Finland,10,Christian
Finland,14485,Free Church in Finla
Finland,9393,Islam 
Finland,19094,Jehovah Witness
Finland,1208,Jewish
Finland,3225,Latter Day Saints
Finland,4207192,Lutheran
Finland,1301,Methodist
Finland,58449,Orthodox
Finland,7573,Other Lutheran Churc
Finland,2402,Other Orthodox Churc
Finland,1303,Other Religions
Finland,1032429,No Religion
Georgia,4371535,Total
Georgia,171139,Armeno-Gregorian
Georgia,34727,Catholic
Georgia,3541,Jewish
Georgia,433784,Muslim
Georgia,33468,Other
Georgia,12,Not Specified
Georgia,28631,None
Georgia,3666233,Christian Orthodox
Ghana,24658823,Total
Ghana,3230996,Catholic
Ghana,4345723,Islam 
Ghana,6980792,Pentecostal
Ghana,4534178,Protestant
Ghana,1270272,Traditional
Ghana,2800871,Other Christians
Ghana,193914,Other Religions
Ghana,1302077,No Religion
Ghana,1154352,No Religion
Gibraltar,27495,Total
Gibraltar,1920,Church of England
Gibraltar,491,Hindu
Gibraltar,584,Jewish
Gibraltar,1102,Muslim
Gibraltar,21470,Roman Catholic
Gibraltar,259,Other
Gibraltar,883,Other Christians
Gibraltar,786,No Religion
Hungary,9937628,Total
Hungary,6213,Adventist
Hungary,147386,Atheist
Hungary,18211,Baptist
Hungary,1153454,Calvinist
Hungary,179176,Greek Catholic
Hungary,10965,Jewish
Hungary,215093,Lutheran
Hungary,13710,Orthodox
Hungary,3691389,Roman Catholic
Hungary,84506,Other
Hungary,1357,Other Catholic
Hungary,58301,Other Protestant
Hungary,2698844,Not Declared
Hungary,1659023,None
India,1028610328,Total
India,7955207,Buddhist
India,24080016,Christian
India,827578868,Hindu
India,4225053,Jains
India,138188240,Muslim
India,19215730,Sikh
India,6639626,Other
India,727588,Not Specified
Indonesia,201241999,Total
Indonesia,1694682,Buddhist
Indonesia,6134902,Catholic
Indonesia,3651939,Hindu
Indonesia,177528772,Muslim
Indonesia,11820075,Protestant
Indonesia,411629,Other
Iran (Islamic Republ,75149669,Total
Iran (Islamic Republ,75149669,Total
Iran (Islamic Republ,117704,Christian
Iran (Islamic Republ,117704,Christian
Iran (Islamic Republ,8756,Jewish
Iran (Islamic Republ,8756,Jewish
Iran (Islamic Republ,74682938,Muslim
Iran (Islamic Republ,74682938,Muslim
Iran (Islamic Republ,25271,Zoroastrian
Iran (Islamic Republ,25271,Zoroastrian
Iran (Islamic Republ,49101,Other Religions
Iran (Islamic Republ,49101,Other Religions
Iran (Islamic Republ,265899,Not Specified
Iran (Islamic Republ,265899,Not Specified
Ireland,4588252,Total
Ireland,4588252,Total
Ireland,3521,Agnostic
Ireland,3521,Agnostic
Ireland,14043,Apostolic
Ireland,14043,Apostolic
Ireland,3905,Atheist
Ireland,3905,Atheist
Ireland,520,Baha'i
Ireland,520,Baha'i
Ireland,3531,Baptist
Ireland,3531,Baptist
Ireland,336,Brethren
Ireland,336,Brethren
Ireland,8703,Buddhist
Ireland,8703,Buddhist
Ireland,41161,Christian
Ireland,41161,Christian
Ireland,129039,Church of Ireland
Ireland,129039,Church of Ireland
Ireland,4188,Evangelical
Ireland,4188,Evangelical
Ireland,10688,Hindu
Ireland,10688,Hindu
Ireland,6149,Jehovah Witness
Ireland,6149,Jehovah Witness
Ireland,1984,Jewish
Ireland,1984,Jewish
Ireland,1279,Lapsed Roman Catholi
Ireland,1279,Lapsed Roman Catholi
Ireland,1284,Latter Day Saints
Ireland,1284,Latter Day Saints
Ireland,5683,Lutheran
Ireland,5683,Lutheran
Ireland,6842,Methodist
Ireland,6842,Methodist
Ireland,49204,Muslim
Ireland,49204,Muslim
Ireland,45223,Orthodox
Ireland,45223,Orthodox
Ireland,1940,Pantheism
Ireland,1940,Pantheism
Ireland,24600,Presbyterian
Ireland,24600,Presbyterian
Ireland,5326,Protestant
Ireland,5326,Protestant
Ireland,925,Quakers
Ireland,925,Quakers
Ireland,3861335,Roman Catholic
Ireland,3861335,Roman Catholic
Ireland,14118,Other Religions
Ireland,14118,Other Religions
Ireland,269811,No Religion
Ireland,269811,No Religion
Ireland,72914,Not Stated
Ireland,72914,Not Stated
Israel,5567100,Total
Israel,122400,Christian
Israel,92655,Druze
Israel,4476225,Jewish
Israel,808375,Muslim
Israel,67445,Other
Jamaica,2684256,Total
Jamaica,74995,Anglican
Jamaica,269,Baha'i
Jamaica,180626,Baptist
Jamaica,23647,Brethren
Jamaica,121264,Church of God of Pro
Jamaica,1839,Hindu
Jamaica,1511,Islam 
Jamaica,50843,Jehovah Witness
Jamaica,506,Judaism
Jamaica,43362,Methodist
Jamaica,18351,Moravian
Jamaica,295209,Pentecostal
Jamaica,29028,Rastafarian
Jamaica,36309,Revived
Jamaica,58010,Roman Catholic
Jamaica,322202,Seventh Day Adventis
Jamaica,55419,United Church
Jamaica,246790,Other Church of God
Jamaica,169000,Other Religions
Jamaica,571988,No Religion
Jamaica,61403,Not Specified
Jamaica,192128,New Testament Church
Jamaica,129557,Church of God in Jam
Kenya,38412088,Total
Kenya,9010684,Catholic
Kenya,53393,Hindu
Kenya,4304798,Muslim
Kenya,18307466,Protestant
Kenya,635352,Traditional
Kenya,4559584,Other Christians
Kenya,557450,Other Religions
Kenya,922128,No Religion
Kenya,61233,Unknown
Kiribati,103058,Total
Kiribati,390,Assembly of God
Kiribati,2322,Baha'i
Kiribati,57503,Catholic
Kiribati,360,Church of God
Kiribati,4802,Mormon
Kiribati,119,Muslim
Kiribati,2085,Seventh Day Adventis
Kiribati,265,Other
Kiribati,51,No Religion
Kiribati,34528,Kempsville Presbyter
Kiribati,421,Te koaua
Kiribati,212,Unknown
Lao People's Democra,5621982,Total
Lao People's Democra,1826,Animist
Lao People's Democra,3755156,Buddhist
Lao People's Democra,84750,Christian
Lao People's Democra,1044,Muslim
Lao People's Democra,1739009,Other
Lao People's Democra,40197,Not Stated
Liberia,3476608,Total
Liberia,2975675,Christian
Liberia,424685,Muslim
Liberia,20134,Traditional
Liberia,5426,Other Religions
Liberia,50688,No Religion
Liechtenstein,36149,Total
Liechtenstein,148,Buddhist
Liechtenstein,1960,Islam 
Liechtenstein,27450,Roman Catholic
Liechtenstein,133,Other
Liechtenstein,104,Other Christians
Liechtenstein,258,Other Protestant
Liechtenstein,1952,No Afiliation
Liechtenstein,925,Not Specified
Liechtenstein,415,Christian Orthodox
Liechtenstein,2343,Protestant Reformed
Liechtenstein,461,Protestant Lutheran
Lithuania,3483972,Total
Lithuania,3483972,Total
Lithuania,2207,All Gospel Church
Lithuania,2207,All Gospel Church
Lithuania,30,Armenian Apostolic
Lithuania,30,Armenian Apostolic
Lithuania,31,Baha'i
Lithuania,31,Baha'i
Lithuania,1270,Balts Believers
Lithuania,1270,Balts Believers
Lithuania,1249,Baptist
Lithuania,1249,Baptist
Lithuania,408,Buddhist
Lithuania,408,Buddhist
Lithuania,275,Christian
Lithuania,275,Christian
Lithuania,197,Church of Christ
Lithuania,197,Church of Christ
Lithuania,15,Church of Jesus Chri
Lithuania,15,Church of Jesus Chri
Lithuania,52,Church of Scientolog
Lithuania,52,Church of Scientolog
Lithuania,19637,Evangelical Lutheran
Lithuania,19637,Evangelical Lutheran
Lithuania,7082,Evangelical Reformis
Lithuania,7082,Evangelical Reformis
Lithuania,364,Greek Catholic
Lithuania,364,Greek Catholic
Lithuania,3512,Jehovah Witness
Lithuania,3512,Jehovah Witness
Lithuania,1272,Judaism
Lithuania,1272,Judaism
Lithuania,258,Karaite
Lithuania,258,Karaite
Lithuania,211,Methodist
Lithuania,211,Methodist
Lithuania,436,Neuapostolische Kirc
Lithuania,436,Neuapostolische Kirc
Lithuania,75,Non-denominational C
Lithuania,75,Non-denominational C
Lithuania,27073,Old Believers
Lithuania,27073,Old Believers
Lithuania,141821,Orthodox
Lithuania,141821,Orthodox
Lithuania,1307,Pentecostal
Lithuania,1307,Pentecostal
Lithuania,660,Protestant
Lithuania,660,Protestant
Lithuania,2752447,Roman Catholic
Lithuania,2752447,Roman Catholic
Lithuania,547,Seventh Day Adventis
Lithuania,547,Seventh Day Adventis
Lithuania,265,Society for Krishna 
Lithuania,265,Society for Krishna 
Lithuania,2860,Sunni Muslims
Lithuania,2860,Sunni Muslims
Lithuania,877,Other
Lithuania,877,Other
Lithuania,331087,No Religion
Lithuania,331087,No Religion
Lithuania,186447,Not Stated
Lithuania,186447,Not Stated
Malawi,13029498,Total
Malawi,10770229,Christian
Malawi,1690087,Islam 
Malawi,242503,Other Religions
Malawi,326679,No Religion
Malawi,9933868,Total
Malawi,7933773,Christian
Malawi,1272429,Islam 
Malawi,304961,Other Religions
Malawi,422705,No Religion
Malaysia,28334135,Total
Malaysia,27484596,Total
Malaysia,5446855,Buddhist
Malaysia,5620483,Buddhist
Malaysia,2617159,Christian
Malaysia,2542254,Christian
Malaysia,346827,Confucianism/Taoism 
Malaysia,356718,Confucianism/Taoism 
Malaysia,1777694,Hindu
Malaysia,1725838,Hindu
Malaysia,16849328,Islam 
Malaysia,17375794,Islam 
Malaysia,111759,Other Religions
Malaysia,109546,Other Religions
Malaysia,197064,No Religion
Malaysia,202763,No Religion
Malaysia,271765,Unknown
Malaysia,266884,Unknown
